name,url,rating,number_of_ratings,price,asin
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-3,4.0 out of 5 stars,54967,1199,B07CJCGM1M
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-4,4.1 out of 5 stars,5162,669,B08Z1HHHTD
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-5,4.3 out of 5 stars,11811,550,B084JGJ8PF
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-6,3.9 out of 5 stars,3213,849,B09VCLZ3K4
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-7,3.9 out of 5 stars,16565,649,B085MHDJ93
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-8,4.3 out of 5 stars,547,1199,B0BTD4S4XF
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-9,4.4 out of 5 stars,5912,987,B07G4F6XFH
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-10,4.1 out of 5 stars,1546,749,B098QFF5TJ
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-13,4.4 out of 5 stars,5898,1125,B075MK4TXP
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-14,4.0 out of 5 stars,19980,248,B07Q7CNPMV
