name,url,rating,number_of_ratings,price,asin,Manufacturer,Product Details,Details
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-3,4.0 out of 5 stars,54967,1199,B07CJCGM1M,Samsonite,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No
Outer Material: Polyester, Color: Black
Water Resistance: Water resistant , not Waterproof
Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters
Number of Wheels: 0, Number of compartments: 3
Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of
Mesh pockets on both sides to accommodate your sipper or bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support","Product information
Technical Details
Color Black-Grey
Shipping Weight 0.48 Kilograms
Item Model Number AMT FIZZ SCH BAG 02 - BLACK
Item Part Number AMT FIZZ SCH BAG 02 - BLACK
Primary material Polyester
Capacity L
What is in the box? Backpack
Item Shape Rectangular
Footboard upholstery Polyester
Weight 510 Grams
Manufacturer Samsonite
Country of Origin India
Imported By SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700
Additional Information
ASIN B07CJCGM1M
Customer Reviews 4.0
54,986 ratings
4.0 out of 5 stars
Best Sellers Rank #10 in Bags, Wallets and Luggage (See Top 100 in Bags, Wallets and Luggage)
#2 in Casual Daypacks
#2 in School Bags
Date First Available 18 April 2018
Manufacturer Samsonite, Samsonite India
Packer Samsonite India
Importer SAMSONITE SOUTH ASIA PVT. LTD GAT NO.159 TO 163,GONDE,TALUKA-IGATPURI NASIK 422403;Tel No. 02553-229700
Item Weight 510 g
Item Dimensions LxWxH 22 x 31.5 x 49.5 Centimeters
Net Quantity 1 Count
Generic Name Backpack
Feedback
Would you like to tell us about a lower price?"
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-4,4.1 out of 5 stars,5162,669,B08Z1HHHTD,VIP Industries Ltd,"Care Instructions: Hand Wash Only
Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,
Water Resistance Level: Not Water Resistant
Size: 35 x 13 x 46 cms","Product Dimensions : 10.01 x 19.99 x 11.99 cm; 390 Grams
Date First Available : 15 March 2021
Manufacturer : VIP Industries Ltd
ASIN : B08Z1HHHTD
Manufacturer : VIP Industries Ltd
Item Weight : 390 g
Item Dimensions LxWxH : 10 x 20 x 12 Centimeters"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-5,4.3 out of 5 stars,11811,550,B084JGJ8PF,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty
Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
› See more product details","Wesley Milestone 2.0 Casual Waterproof Laptop Backpack Information
Technical Details
Brand Wesley
Manufacturer Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039
Model Mii-007
Model Name Mi-007
Product Dimensions 31.8 x 17.8 x 45.7 cm; 480 Grams
Item model number Mii-007
Special Features Laptop Compartment, Waterproof, Lightweight, Ergonomic Design, Padded Strap
Mounting Hardware Backpack
Number of items 1
Batteries Required No
Material Polyester
Manufacturer Wesley
Country of Origin India
Item Weight 480 g
Additional Information
ASIN B084JGJ8PF
Customer Reviews 4.3
11,825 ratings
4.3 out of 5 stars
Best Sellers Rank #312 in Electronics (See Top 100 in Electronics)
#3 in Laptop Backpacks
Date First Available 15 August 2020
Packer Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039
Item Dimensions LxWxH 31.8 x 17.8 x 45.7 Centimeters
Net Quantity 1 U
Generic Name Laptop Backpack
Feedback
Would you like to tell us about a lower price?"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-6,3.9 out of 5 stars,3213,849,B09VCLZ3K4,Amazing Bags,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc","Product Dimensions : 22 x 30 x 50 cm; 670 Grams
Date First Available : 11 March 2022
Manufacturer : Amazing Bags
ASIN : B09VCLZ3K4
Item model number : laptop bag
Country of Origin : India
Department : unisex-adult
Manufacturer : Amazing Bags
Item Weight : 670 g
Item Dimensions LxWxH : 22 x 30 x 50 Centimeters
Net Quantity : 1 Count"
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-7,3.9 out of 5 stars,16565,649,B085MHDJ93,Amazing Bags,"Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.","Product Dimensions : 21 x 33 x 48 cm; 600 Grams
Date First Available : 28 February 2020
Manufacturer : Amazing Bags
ASIN : B085MHDJ93
Item model number : bag for men
Country of Origin : India
Department : Unisex Adult and Child
Manufacturer : Amazing Bags, Half_Moon, New Delhi
Item Weight : 600 g
Item Dimensions LxWxH : 21 x 33 x 48 Centimeters
Generic Name : laptop bag"
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-8,4.3 out of 5 stars,547,1199,B0BTD4S4XF,EXPERTS,"Care Instructions: Hand Wash Only
Well Organized compartment ,Security Back Pocket","Product Dimensions : 20 x 32.5 x 47.5 cm; 510 Grams
Date First Available : 30 January 2023
Manufacturer : EXPERTS
ASIN : B0BTD4S4XF
Item model number : LT9 (0) 09 002
Country of Origin : China
Department : mens
Manufacturer : EXPERTS, China
Packer : China
Importer : Importer Name ltd., Street No. 24/4, New Delhi, India - 110011, Contact: +91-111-000-2400, service@importer.com
Item Weight : 510 g
Item Dimensions LxWxH : 20 x 32.5 x 47.5 Centimeters
Net Quantity : 1 Count
Generic Name : BACKPACK"
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-9,4.4 out of 5 stars,5912,987,B07G4F6XFH,Gear Merchandise PVT LTD,"Care Instructions: Hand Wash Only
Outer material: synthetic, color: brown
Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Anti theft waterproof bag with anti sweat fabric on back and shoulder straps
Show More","Product Dimensions : 48 x 32 x 14 cm; 340 Grams
Date First Available : 2 August 2018
Manufacturer : Gear Merchandise PVT LTD
ASIN : B07G4F6XFH
Item model number : LBPCLSLTH0201
Country of Origin : India
Department : unisex-adult
Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Item Weight : 340 g
Item Dimensions LxWxH : 48 x 32 x 14 Centimeters
Net Quantity : 1 count
Included Components : Laptop Backpack
Generic Name : Laptop Backpack"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-10,4.1 out of 5 stars,1546,749,B098QFF5TJ,Wesley,"Care Instructions: Hand Wash Only
Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories
CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem
FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult
COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.
12 Months Limited Brand Warranty","Product Dimensions : 36.8 x 22.9 x 50.8 cm; 900 Grams
Date First Available : 6 July 2021
Manufacturer : Wesley
ASIN : B098QFF5TJ
Item model number : Spartan Hiking
Country of Origin : India
Department : unisex-adult
Manufacturer : Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Packer : Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507
Item Weight : 900 g
Item Dimensions LxWxH : 36.8 x 22.9 x 50.8 Centimeters
Included Components : backpack, Raincover
Generic Name : LAPTOP BACKPACK"
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-13,4.4 out of 5 stars,5898,1125,B075MK4TXP,Gear Merchandise PVT LTD,"Outer Material: Polyester, Color: Black
Water Resistance: Water resistant
Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2
Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,
Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks","Product Dimensions : 50 x 34 x 18 cm; 680 Grams
Date First Available : 14 September 2017
Manufacturer : Gear Merchandise PVT LTD
ASIN : B075MK4TXP
Item model number : LBPASPIRE0104
Country of Origin : India
Department : unisex-adult
Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366
Item Weight : 680 g
Item Dimensions LxWxH : 50 x 34 x 18 Centimeters
Net Quantity : 1 count
Included Components : Laptop Backpack
Generic Name : Bag"
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690028075&sr=8-14,4.0 out of 5 stars,19980,248,B07Q7CNPMV,Safari Industries (India) Ltd,"Care Instructions: Hand Wash Only
Outer Material: Polyester, Color: Sea Blue
Not water resistant. With Rain Cover:No
Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)
Number of compartments: 2; Laptop Compatibility: No
Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket
Drawstring, 2 Compartments, Compact Size","Product Dimensions : 8 x 27 x 38 cm; 490 Grams
Date First Available : 27 March 2019
Manufacturer : Safari Industries (India) Ltd
ASIN : B07Q7CNPMV
Item model number : DAYPACKNEO15CBSEB
Country of Origin : India
Department : unisex-adult
Manufacturer : Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Packer : Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Importer : Imported and Marketed by Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838
Item Weight : 490 g
Item Dimensions LxWxH : 8 x 27 x 38 Centimeters
Net Quantity : 1 Count
Included Components : SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB)
Generic Name : Backpack"
